iteration,objective_value,solve_time,yr1,yr2,ys1,ys2,ys3,z_an1,z_an2,z_cat1,z_cat2
1,19.080000000000002,0.0002980232238769531,1.0,0.0,1.0,-0.0,-0.0,1.0,0.0,1.0,0.0
2,19.12,0.006178140640258789,1.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0
3,19.16,0.001550912857055664,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0
4,19.16,0.001146078109741211,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0
5,20.64,0.004999876022338867,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0
6,20.78,0.007859945297241211,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0
7,20.92,0.006143093109130859,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,21.060000000000002,0.006108999252319336,1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,1.0
9,21.400000000000002,0.0064389705657958984,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,0.0
10,21.5,0.007344961166381836,1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,1.0
11,21.7,0.010066032409667969,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
12,21.7,0.0057680606842041016,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
13,24.540000000000003,0.009580850601196289,0.0,1.0,1.0,-0.0,-0.0,1.0,0.0,1.0,0.0
14,24.580000000000002,0.005895137786865234,-0.0,1.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,1.0
15,24.62,0.005379915237426758,-0.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0
16,24.62,0.007032871246337891,-0.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,0.0
17,26.1,0.0054438114166259766,-0.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0
18,26.240000000000002,0.004789829254150391,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
19,26.380000000000003,0.005414009094238281,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,26.520000000000003,0.0061109066009521484,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,1.0
21,26.860000000000003,0.004026889801025391,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,0.0
22,26.96,0.004769086837768555,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,1.0
23,27.16,0.008641958236694336,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
24,27.16,0.009263992309570312,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
25,29.0,0.00789189338684082,1.0,0.0,1.0,1.0,-0.0,0.0,1.0,-0.0,1.0
26,29.14,0.0102081298828125,1.0,0.0,1.0,1.0,-0.0,0.0,1.0,1.0,0.0
27,29.200000000000003,0.009505987167358398,1.0,0.0,1.0,1.0,-0.0,1.0,0.0,1.0,0.0
28,29.380000000000003,0.008343935012817383,1.0,-0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,1.0
29,29.76,0.00790715217590332,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,0.0
30,29.82,0.006697893142700195,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
31,29.98,0.007047176361083984,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
32,30.06,0.006482124328613281,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
33,31.380000000000003,0.007483959197998047,1.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0
34,31.54,0.006849050521850586,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
35,31.76,0.0072820186614990234,1.0,0.0,-0.0,1.0,1.0,1.0,0.0,-0.0,1.0
